output	text
01.wav	如今这里滴水不见了，岸边的植物枯黄而矮小。
02.wav	它的颜色是白中带青，我们称为隐青瓷。
03.wav	我一般一个月去上海一次，因为上海有赛道。
04.wav	不能将政府应当承担的补贴作为财政包袱甩给老百姓。
05.wav	最近我堕落成了轻微懒癌患者，这都被你发现了。
06.wav	他是那样精神蓬勃，士气昂扬。
07.wav	之后张家人从小区物业得知，司机躲在单元门里过了半宿。
08.wav	可惜台风天秤搅局，让马英九被迫延期登岛。
09.wav	多年来，警察们坐在大捆检获的文件面前，什么也没做。
10.wav	据了解，予园公馆是民国名医刘建勋的旧居。
11.wav	如何调和弱者与强者，贫与富之间的矛盾，极为重要与紧迫。
12.wav	残疾情况需有医院证明且每两年复查一次。
13.wav	在一些专家看来，这样的跛足开发，正是康菲骄横霸道的底气。
14.wav	为不影响正在一线救人的他，记者挂断了电话。
15.wav	张无忌见自己的字一扫颓靡，也满心喜欢。
16.wav	记者仔细查听了两个号码的自动语音服务，发现的确有所不同。
17.wav	此外，他还引用丘吉尔的名言说，吵吵总比打打好。
18.wav	这里的人民都有一颗金子般真诚的心。
19.wav	如护发和护眼要戴上硅胶泳帽，和摘除隐形眼镜。
20.wav	据介绍，本次事故疑似与学生吃的食堂月饼有关。
